categoria,pregunta,r1,r2,r3,r4,correcta,dificultad

ciencia, Qué gas da vida a las plantas, Oxígeno, Plástico, Hidrogeno, Neon, Oxígeno,facil
ciencia, ¿Cuál es el planeta más cercano al Sol?, Mercurio, Marte, Tierra, Venus, Mercurio,facil
ciencia, ¿Cómo se llama el órgano que bombea la sangre?, Corazón, Higado, Pulmones, Cerebro, Corazón,facil
ciencia, ¿Cómo se llama el proceso por el cual las plantas producen su propio alimento?, Protón, Electrón, Neón, Xenón, Electrón,media
ciencia, ¿Cuál es el planeta más grande del sistema solar?, Júpiter, Urano, Mercurio, Tierra, Júpiter,media
ciencia, ¿Cómo se llama el proceso por el cual las plantas producen su propio alimento?, Necrosis, Fagocitosis, Fotosíntesis, Respiración, Fotosíntesis,media
ciencia, ¿Qué fenómeno físico describe la resistencia de un fluido al movimiento de un objeto a través de él?, Hidrógeno, Mercurio, Oganesón, Oxígeno, Oganesón,dificil
ciencia, ¿Cómo se llama la partícula hipotética que mediaría la fuerza gravitatoria en la teoría cuántica?, Quark, Neutrino, Fotón, Gravitón, Gravitón,dificil
ciencia, ¿Qué fenómeno físico describe la resistencia de un fluido al movimiento de un objeto a través de él?, Viscosidad, Inercia, Entropía, Presión, Viscosidad,dificil
historia, ¿Quién fue el primer presidente de los Estados Unidos?, Washington, Clinton, Trump, Obama, Washington, fácil
historia, ¿En qué año cayó el Imperio Romano de Occidente?, 476, 500, 600, 450, 476, fácil
historia, ¿Qué civilización construyó las pirámides de Egipto?, Fenicios, Cartagineses, Egipcios, Griegos, Egipcios, fácil
historia, ¿En qué año comenzó la Revolución Francesa?, 1492, 1917, 1789, 1815, 1789, media
historia, ¿Qué civilización construyó Machu Picchu?, Mayas, Incas, Aztecas, Egipcios, Incas, media
historia, ¿Quién fue el primer emperador de Roma?, Nerón, Augusto, Julio, Trajano, Augusto, media
historia, ¿Qué tratado puso fin a la Primera Guerra Mundial?, Versalles, Tordesillas, Utrecht, Yalta, Versalles, difícil
historia, ¿Qué civilización antigua desarrolló la escritura cuneiforme?, Egipcia, Fenicia, Persa, Sumeria, Sumeria, difícil
historia, ¿En qué isla fue desterrado Napoleón tras su derrota definitiva?, Elba, Sicilia, Santa Elena, Malta, Santa Elena, difícil
geografia, ¿En qué continente se encuentra el desierto del Sahara?, África, Asia, América, Oceanía, África, fácil
geografia, ¿Qué océano rodea la Antártida?, Austral, Melbourne, Canberra, Brisbane, Austral, fácil
geografia, ¿Cuál es la montaña más alta del mundo?, Everest, Mulhacen, Pirineos, Huascaran, Everest, fácil
geografia, ¿Cuál es el país más grande del mundo en superficie?, Canadá, China, Rusia, Estados Unidos, Rusia, media
geografia, ¿Qué océano es el más profundo del planeta?, Atlántico, Índico, Pacífico, Ártico, Pacífico, media
geografia, ¿Qué país tiene la mayor cantidad de islas en el mundo?, Suecia, Canadá, Noruega, Indonesia, Suecia, media
geografia, ¿Cuál es el río más largo del mundo?, Amazonas, Nilo, Yangtsé, Misisipi, Nilo, difícil
geografia, ¿Qué montaña es la más alta de África?, Kilimanjaro, Everest, Atlas, Kenia, Kilimanjaro, difícil
geografia, ¿Qué país tiene la mayor extensión territorial en América del Sur?, Argentina, Chile, Colombia, Brasil, Brasil, difícil
